设备ID,时间戳,监测点,指标类型,数值,单位,数据质量
SYS-BAT-001,2025-01-01 10:00:00,总电压,voltage,650.5,V,正常
SYS-BAT-001,2025-01-01 10:00:00,SOC荷电状态,power,85.5,%,正常
SYS-BAT-001,2025-01-01 10:00:00,充电电流,current,120.3,A,正常
SYS-BAT-001,2025-01-01 10:00:00,最高充电温度,temperature,35.2,°C,正常
SYS-BAT-001,2025-01-01 10:00:00,绝缘电阻,resistance,1800,kΩ,正常
SYS-PROP-L-001,2025-01-01 10:00:00,电机转速,speed,1500,rpm,正常
SYS-PROP-L-001,2025-01-01 10:00:00,电机功率,power,1200,kW,正常
SYS-PROP-L-001,2025-01-01 10:00:00,前轴承温度,temperature,65.3,°C,正常
SYS-PROP-L-001,2025-01-01 10:00:00,逆变器电压,voltage,600,V,正常
SYS-PROP-R-001,2025-01-01 10:00:00,电机转速,speed,1498,rpm,正常
SYS-PROP-R-001,2025-01-01 10:00:00,后轴承温度,temperature,64.8,°C,正常
SYS-INV-1-001,2025-01-01 10:00:00,输入直流电压,voltage,650,V,正常
SYS-INV-1-001,2025-01-01 10:00:00,输出交流电流,current,150,A,正常
SYS-DCPD-001,2025-01-01 10:00:00,直流母排电压,voltage,648,V,正常
SYS-DCPD-001,2025-01-01 10:00:00,绝缘电阻,resistance,2000,kΩ,正常
SYS-BILGE-001,2025-01-01 10:00:00,1#集水井水位,level,50,mm,正常
SYS-BILGE-001,2025-01-01 10:00:00,2#集水井水位,level,45,mm,正常
SYS-COOL-001,2025-01-01 10:00:00,1#冷却水温,temperature,28.5,°C,正常
SYS-COOL-001,2025-01-01 10:00:00,冷却水压力,pressure,0.15,MPa,正常